名次,職業,角色名稱,討伐完成時間,記錄更新時間,結算日期,週次
1位,召喚師,?小肥蜂,00:04.90,2019.11.06 16:30:50,2019.11.08,第四週
1位,劍士,葛清霏,00:07.10,2019.11.06 23:45:26,2019.11.08,第四週
1位,弓箭手,未羽?,00:07.60,2019.11.06 21:17:07,2019.11.08,第四週
1位,燐劍士,翻滾喵,00:08.70,2019.11.07 01:22:45,2019.11.08,第四週
1位,氣功士,銀鍠朱武?,00:09.30,2019.11.07 11:03:42,2019.11.08,第四週
1位,鬥士,豆子?,00:10.10,2019.11.06 22:13:17,2019.11.08,第四週
1位,拳士,錫蘭,00:11.40,2019.11.07 23:18:07,2019.11.08,第四週
1位,咒術師,?小肥玥,00:11.90,2019.11.08 00:13:54,2019.11.08,第四週
1位,槍擊士,Chu?玉米棒,00:13.30,2019.11.06 14:04:13,2019.11.08,第四週
1位,刺客,浮生若夢?影,00:16.70,2019.11.07 05:15:58,2019.11.08,第四週
1位,力士,?小肥黑,00:18.50,2019.11.08 01:35:01,2019.11.08,第四週
1位,乾坤士,?莓果戀,00:21.50,2019.11.06 14:17:13,2019.11.08,第四週
2位,劍士,?禘神祐,00:07.90,2019.11.06 18:30:01,2019.11.08,第四週
2位,召喚師,蘇打糖?,00:09.70,2019.11.08 03:07:45,2019.11.08,第四週
2位,氣功士,HanShuang,00:10.40,2019.11.06 20:15:00,2019.11.08,第四週
2位,鬥士,鋼劍解師傅,00:10.90,2019.11.06 17:07:32,2019.11.08,第四週
2位,弓箭手,半夏?冰淇淋,00:10.90,2019.11.06 19:47:11,2019.11.08,第四週
2位,拳士,?那個澄,00:12.10,2019.11.06 12:43:10,2019.11.08,第四週
2位,咒術師,?驀回首,00:12.20,2019.11.06 11:11:05,2019.11.08,第四週
2位,燐劍士,磪有情,00:14.60,2019.11.07 00:27:14,2019.11.08,第四週
2位,槍擊士,Murie,00:16.20,2019.11.07 02:35:21,2019.11.08,第四週
2位,力士,妃?,00:19.70,2019.11.06 19:52:22,2019.11.08,第四週
2位,乾坤士,崔部長?,00:23.50,2019.11.07 00:16:27,2019.11.08,第四週
2位,刺客,戕納,00:34.80,2019.11.08 00:10:05,2019.11.08,第四週
3位,劍士,天眠,00:07.90,2019.11.07 19:47:58,2019.11.08,第四週
3位,鬥士,冰舞魅心?,00:12.0,2019.11.06 19:20:59,2019.11.08,第四週
3位,拳士,班尼菈,00:12.10,2019.11.08 03:16:24,2019.11.08,第四週
3位,召喚師,乖乖泡泡糖,00:12.10,2019.11.07 01:23:04,2019.11.08,第四週
3位,弓箭手,漓晞,00:12.20,2019.11.07 17:59:15,2019.11.08,第四週
3位,氣功士,Bauhinia,00:12.50,2019.11.06 18:02:31,2019.11.08,第四週
3位,咒術師,菈菈唲,00:13.60,2019.11.06 20:19:15,2019.11.08,第四週
3位,燐劍士,?小黑糖,00:15.20,2019.11.06 13:34:16,2019.11.08,第四週
3位,槍擊士,古洛,00:16.50,2019.11.07 14:52:43,2019.11.08,第四週
3位,力士,人彘?,00:22.90,2019.11.08 01:40:44,2019.11.08,第四週
3位,乾坤士,不如獨樂,00:24.20,2019.11.07 20:51:56,2019.11.08,第四週
3位,刺客,?凜,00:36.70,2019.11.07 16:31:57,2019.11.08,第四週
4位,劍士,恍惚?,00:08.60,2019.11.06 22:21:15,2019.11.08,第四週
4位,鬥士,鴻蒼?,00:12.20,2019.11.06 20:10:58,2019.11.08,第四週
4位,拳士,義誠,00:12.80,2019.11.06 13:04:01,2019.11.08,第四週
4位,弓箭手,?拉媞琺,00:13.30,2019.11.06 20:38:50,2019.11.08,第四週
4位,咒術師,低調?睡?,00:14.0,2019.11.08 00:45:11,2019.11.08,第四週
4位,召喚師,紗兒的小豬豬,00:14.40,2019.11.07 20:06:53,2019.11.08,第四週
4位,燐劍士,?蓋歐卡,00:15.60,2019.11.06 12:53:04,2019.11.08,第四週
4位,氣功士,風嵐之翼,00:16.40,2019.11.06 13:34:49,2019.11.08,第四週
4位,槍擊士,英靈?,00:18.80,2019.11.06 19:31:31,2019.11.08,第四週
4位,力士,胖胖空,00:23.30,2019.11.06 20:47:35,2019.11.08,第四週
4位,乾坤士,多納太羅?啾,00:27.50,2019.11.07 22:39:32,2019.11.08,第四週
4位,刺客,妲己?狐,00:39.80,2019.11.07 02:08:39,2019.11.08,第四週
5位,劍士,月孤痕,00:08.70,2019.11.07 23:03:39,2019.11.08,第四週
5位,拳士,Yeon誠,00:13.40,2019.11.07 17:21:13,2019.11.08,第四週
5位,鬥士,孀笙,00:13.50,2019.11.07 00:32:37,2019.11.08,第四週
5位,咒術師,侜張,00:14.40,2019.11.06 20:04:48,2019.11.08,第四週
5位,召喚師,蘿水三千只取一瓢飲,00:15.0,2019.11.07 23:44:49,2019.11.08,第四週
5位,燐劍士,88在草原上轉圈圈,00:17.60,2019.11.06 12:03:57,2019.11.08,第四週
5位,氣功士,無關愛情,00:18.10,2019.11.06 18:44:06,2019.11.08,第四週
5位,槍擊士,三發裝子彈,00:20.10,2019.11.07 21:05:48,2019.11.08,第四週
5位,弓箭手,冷??,00:21.90,2019.11.07 19:53:42,2019.11.08,第四週
5位,力士,八月中秋山林涼,00:26.10,2019.11.06 11:51:52,2019.11.08,第四週
5位,乾坤士,即白,00:34.10,2019.11.06 18:58:12,2019.11.08,第四週
